city,type,date,annee,mois,temperature_max_celsius,temperature_min_celsius,precipitation_mm,humidity_max_percent,humidity_min_percent,wind_speed_kmh
El Jadida,climat_historique,2020-05-02,2020,,22.5,17.1,0.0,90,64,26.3
El Jadida,climat_historique,2020-05-03,2020,,33.4,17.0,0.0,95,23,24.5
El Jadida,climat_historique,2020-05-04,2020,,22.5,17.9,0.0,98,67,18.5
El Jadida,climat_historique,2020-05-05,2020,,21.6,17.5,0.3,98,67,22.0
El Jadida,climat_historique,2020-05-06,2020,,21.6,17.5,0.0,88,61,34.0
El Jadida,climat_historique,2020-05-07,2020,,21.9,17.5,0.0,93,67,17.1
El Jadida,climat_historique,2020-05-08,2020,,20.5,16.8,0.0,89,61,19.0
El Jadida,climat_historique,2020-05-09,2020,,21.2,15.5,0.5,93,53,23.7
El Jadida,climat_historique,2020-05-10,2020,,21.6,16.5,1.6,89,55,20.4
El Jadida,climat_historique,2020-05-11,2020,,21.9,15.9,0.7,92,53,24.2
El Jadida,climat_historique,2020-05-12,2020,,20.8,16.3,1.8,86,58,32.2
El Jadida,climat_historique,2020-05-13,2020,,20.3,16.1,7.0,91,60,40.1
El Jadida,climat_historique,2020-05-14,2020,,18.3,14.1,13.0,90,59,37.7
El Jadida,climat_historique,2020-05-15,2020,,18.1,14.9,21.4,94,61,35.5
El Jadida,climat_historique,2020-05-16,2020,,19.9,15.6,1.5,87,65,17.1
El Jadida,climat_historique,2020-05-17,2020,,20.5,15.6,0.0,93,67,26.2
El Jadida,climat_historique,2020-05-18,2020,,22.3,16.6,0.0,92,66,23.8
El Jadida,climat_historique,2020-05-19,2020,,23.2,17.0,0.0,91,67,22.2
El Jadida,climat_historique,2020-05-20,2020,,22.2,18.2,0.0,94,75,25.8
El Jadida,climat_historique,2020-05-21,2020,,21.6,18.0,0.0,95,74,24.5
El Jadida,climat_historique,2020-05-22,2020,,23.0,18.2,0.0,96,73,23.9
El Jadida,climat_historique,2020-05-23,2020,,25.0,19.0,0.0,93,62,23.2
El Jadida,climat_historique,2020-05-24,2020,,24.5,17.6,0.0,94,60,20.4
El Jadida,climat_historique,2020-05-25,2020,,25.5,17.0,0.0,99,54,18.9
El Jadida,climat_historique,2020-05-26,2020,,23.9,18.0,0.0,100,74,14.2
El Jadida,climat_historique,2020-05-27,2020,,23.5,18.5,0.0,100,73,13.9
El Jadida,climat_historique,2020-05-28,2020,,22.8,18.1,0.0,98,70,17.3
El Jadida,climat_historique,2020-05-29,2020,,22.2,18.2,0.0,96,67,17.7
El Jadida,climat_historique,2020-05-30,2020,,22.2,19.4,0.0,91,67,20.3
El Jadida,climat_historique,2020-05-31,2020,,23.5,19.0,0.0,92,62,28.8
El Jadida,climat_historique,2020-06-01,2020,,23.5,17.6,0.0,94,59,18.3
El Jadida,climat_historique,2020-06-02,2020,,23.4,16.9,0.0,100,56,16.4
El Jadida,climat_historique,2020-06-03,2020,,23.4,17.0,0.0,98,62,12.8
El Jadida,climat_historique,2020-06-04,2020,,23.8,18.7,1.4,94,62,21.1
El Jadida,climat_historique,2020-06-05,2020,,23.6,17.8,0.0,94,57,19.9
El Jadida,climat_historique,2020-06-06,2020,,25.7,18.2,0.4,89,59,32.2
El Jadida,climat_historique,2020-06-07,2020,,23.6,20.1,1.7,86,68,26.1
El Jadida,climat_historique,2020-06-08,2020,,23.0,19.0,1.8,94,66,25.8
El Jadida,climat_historique,2020-06-09,2020,,22.3,18.6,0.0,68,47,19.1
El Jadida,climat_historique,2020-06-10,2020,,22.4,18.7,0.1,77,54,18.0
El Jadida,climat_historique,2020-06-11,2020,,22.5,18.6,0.5,72,48,16.8
El Jadida,climat_historique,2020-06-12,2020,,21.7,18.6,3.8,87,66,25.6
El Jadida,climat_historique,2020-06-13,2020,,22.8,17.2,1.3,95,65,16.5
El Jadida,climat_historique,2020-06-14,2020,,23.8,17.5,0.0,95,52,22.1
El Jadida,climat_historique,2020-06-15,2020,,23.7,17.4,0.0,91,60,24.5
El Jadida,climat_historique,2020-06-16,2020,,23.6,19.5,0.0,81,59,23.9
El Jadida,climat_historique,2020-06-17,2020,,24.0,20.0,0.0,85,61,24.8
El Jadida,climat_historique,2020-06-18,2020,,23.1,19.7,0.3,83,62,23.5
El Jadida,climat_historique,2020-06-19,2020,,22.9,19.5,0.1,81,56,27.6
El Jadida,climat_historique,2020-06-20,2020,,23.5,19.3,0.0,87,61,24.8
El Jadida,climat_historique,2020-06-21,2020,,24.2,19.5,0.0,94,67,29.4
El Jadida,climat_historique,2020-06-22,2020,,24.9,19.5,0.0,95,68,21.1
El Jadida,climat_historique,2020-06-23,2020,,24.0,19.8,0.0,97,70,22.6
El Jadida,climat_historique,2020-06-24,2020,,23.4,20.4,0.3,93,70,19.2
El Jadida,climat_historique,2020-06-25,2020,,23.1,20.1,1.2,92,68,20.7
El Jadida,climat_historique,2020-06-26,2020,,23.2,20.0,0.0,79,59,24.7
El Jadida,climat_historique,2020-06-27,2020,,23.8,19.3,0.0,84,60,28.1
El Jadida,climat_historique,2020-06-28,2020,,24.5,20.5,0.0,87,67,27.6
El Jadida,climat_historique,2020-06-29,2020,,24.5,20.5,0.0,93,71,22.1
El Jadida,climat_historique,2020-06-30,2020,,23.7,20.1,0.0,95,70,17.1
El Jadida,climat_historique,2020-07-01,2020,,23.8,19.8,0.0,95,67,23.4
El Jadida,climat_historique,2020-07-02,2020,,23.8,20.2,0.0,91,69,27.1
El Jadida,climat_historique,2020-07-03,2020,,23.6,19.6,0.0,92,68,30.4
El Jadida,climat_historique,2020-07-04,2020,,24.1,18.9,0.0,98,66,21.7
El Jadida,climat_historique,2020-07-05,2020,,25.5,20.5,0.0,100,67,19.6
El Jadida,climat_historique,2020-07-06,2020,,27.6,20.1,0.0,100,61,24.2
El Jadida,climat_historique,2020-07-07,2020,,30.7,21.0,0.0,90,46,22.8
El Jadida,climat_historique,2020-07-08,2020,,24.2,19.9,0.0,94,71,21.7
El Jadida,climat_historique,2020-07-09,2020,,23.2,19.5,0.0,83,61,24.4
El Jadida,climat_historique,2020-07-10,2020,,24.6,20.0,0.0,95,63,25.9
El Jadida,climat_historique,2020-07-11,2020,,25.7,20.4,0.0,98,66,20.6
El Jadida,climat_historique,2020-07-12,2020,,25.7,21.2,0.0,98,71,23.1
El Jadida,climat_historique,2020-07-13,2020,,25.8,21.2,0.0,96,71,24.0
El Jadida,climat_historique,2020-07-14,2020,,26.4,20.4,0.0,99,69,21.3
El Jadida,climat_historique,2020-07-15,2020,,26.0,21.6,0.0,96,70,19.9
El Jadida,climat_historique,2020-07-16,2020,,27.7,20.9,0.0,100,65,14.0
El Jadida,climat_historique,2020-07-17,2020,,26.6,21.0,0.0,100,64,18.7
El Jadida,climat_historique,2020-07-18,2020,,26.2,21.1,0.0,99,67,19.0
El Jadida,climat_historique,2020-07-19,2020,,26.7,21.8,0.0,99,70,25.3
El Jadida,climat_historique,2020-07-20,2020,,26.3,21.8,0.0,98,65,19.6
El Jadida,climat_historique,2020-07-21,2020,,24.7,20.8,0.0,95,57,17.7
El Jadida,climat_historique,2020-07-22,2020,,25.5,20.5,0.0,97,65,24.6
El Jadida,climat_historique,2020-07-23,2020,,26.4,22.1,0.0,93,67,24.3
El Jadida,climat_historique,2020-07-24,2020,,26.5,21.3,0.0,96,65,21.5
El Jadida,climat_historique,2020-07-25,2020,,25.9,21.4,0.0,93,67,20.7
El Jadida,climat_historique,2020-07-26,2020,,26.3,21.0,0.0,98,66,16.4
El Jadida,climat_historique,2020-07-27,2020,,25.8,20.3,0.0,98,65,21.1
El Jadida,climat_historique,2020-07-28,2020,,25.0,21.8,0.0,91,66,22.4
El Jadida,climat_historique,2020-07-29,2020,,25.0,21.4,0.0,85,65,20.2
El Jadida,climat_historique,2020-07-30,2020,,25.1,21.5,0.0,91,66,20.9
El Jadida,climat_historique,2020-07-31,2020,,26.1,21.8,0.0,92,69,24.6
El Jadida,climat_historique,2020-08-01,2020,,27.0,22.0,0.0,92,62,25.3
El Jadida,climat_historique,2020-08-02,2020,,26.5,22.0,0.0,94,65,28.2
El Jadida,climat_historique,2020-08-03,2020,,25.5,20.9,0.0,89,61,27.3
El Jadida,climat_historique,2020-08-04,2020,,25.2,21.6,0.0,88,66,23.2
El Jadida,climat_historique,2020-08-05,2020,,25.6,20.6,0.0,96,64,16.1
El Jadida,climat_historique,2020-08-06,2020,,25.8,21.2,0.0,98,66,18.5
El Jadida,climat_historique,2020-08-07,2020,,25.8,22.0,0.0,89,65,21.8
El Jadida,climat_historique,2020-08-08,2020,,25.5,21.9,0.0,85,64,22.1
El Jadida,climat_historique,2020-08-09,2020,,25.3,22.0,0.0,88,69,20.2
El Jadida,climat_historique,2020-08-10,2020,,24.9,21.6,0.0,87,65,20.8
El Jadida,climat_historique,2020-08-11,2020,,24.4,20.8,0.2,86,58,19.8
El Jadida,climat_historique,2020-08-12,2020,,24.9,21.0,0.0,76,59,27.0
El Jadida,climat_historique,2020-08-13,2020,,24.5,21.1,0.0,79,58,24.1
El Jadida,climat_historique,2020-08-14,2020,,24.6,20.6,0.0,84,64,24.2
El Jadida,climat_historique,2020-08-15,2020,,24.4,20.4,0.0,85,57,28.0
El Jadida,climat_historique,2020-08-16,2020,,24.8,20.3,0.0,81,57,28.5
El Jadida,climat_historique,2020-08-17,2020,,25.6,20.5,0.0,91,66,30.0
El Jadida,climat_historique,2020-08-18,2020,,25.2,21.1,0.0,93,69,26.1
El Jadida,climat_historique,2020-08-19,2020,,25.8,20.5,0.0,96,67,24.5
El Jadida,climat_historique,2020-08-20,2020,,25.5,20.6,0.0,96,63,20.5
El Jadida,climat_historique,2020-08-21,2020,,25.4,20.4,0.0,98,68,28.7
El Jadida,climat_historique,2020-08-22,2020,,25.9,21.3,0.0,97,71,28.6
El Jadida,climat_historique,2020-08-23,2020,,26.9,20.5,0.0,96,63,28.1
El Jadida,climat_historique,2020-08-24,2020,,26.2,21.0,0.0,97,66,26.1
El Jadida,climat_historique,2020-08-25,2020,,26.3,21.6,0.0,100,69,24.4
El Jadida,climat_historique,2020-08-26,2020,,28.5,21.5,0.0,100,58,25.7
El Jadida,climat_historique,2020-08-27,2020,,28.5,21.9,0.0,98,57,24.4
El Jadida,climat_historique,2020-08-28,2020,,24.8,19.9,0.0,98,67,24.2
El Jadida,climat_historique,2020-08-29,2020,,23.4,20.5,0.0,91,58,30.6
El Jadida,climat_historique,2020-08-30,2020,,25.6,20.0,0.0,91,54,31.1
El Jadida,climat_historique,2020-08-31,2020,,26.6,21.1,0.0,95,54,26.9
El Jadida,climat_historique,2020-09-01,2020,,25.6,20.5,0.0,97,62,18.2
El Jadida,climat_historique,2020-09-02,2020,,24.2,18.5,0.0,96,64,21.2
El Jadida,climat_historique,2020-09-03,2020,,25.2,18.1,0.0,100,69,11.5
El Jadida,climat_historique,2020-09-04,2020,,24.8,19.6,0.0,99,68,20.1
El Jadida,climat_historique,2020-09-05,2020,,24.9,19.5,0.0,100,70,16.2
El Jadida,climat_historique,2020-09-06,2020,,25.6,21.0,0.0,98,62,14.9
El Jadida,climat_historique,2020-09-07,2020,,26.6,19.6,0.0,100,59,16.6
El Jadida,climat_historique,2020-09-08,2020,,27.1,20.3,0.0,100,60,21.5
El Jadida,climat_historique,2020-09-09,2020,,26.0,18.0,0.0,100,69,16.5
El Jadida,climat_historique,2020-09-10,2020,,25.6,21.0,0.0,100,68,19.6
El Jadida,climat_historique,2020-09-11,2020,,25.5,20.5,0.0,97,67,19.6
El Jadida,climat_historique,2020-09-12,2020,,25.3,19.9,0.0,97,66,15.7
El Jadida,climat_historique,2020-09-13,2020,,25.5,19.3,0.0,100,63,16.6
El Jadida,climat_historique,2020-09-14,2020,,25.1,20.0,0.0,99,65,19.2
El Jadida,climat_historique,2020-09-15,2020,,25.4,20.4,0.0,93,60,24.1
El Jadida,climat_historique,2020-09-16,2020,,25.1,20.9,0.0,96,70,13.6
El Jadida,climat_historique,2020-09-17,2020,,25.4,21.7,1.7,90,61,15.3
El Jadida,climat_historique,2020-09-18,2020,,25.6,20.2,0.6,94,59,27.7
El Jadida,climat_historique,2020-09-19,2020,,25.2,17.0,0.0,99,53,15.5
El Jadida,climat_historique,2020-09-20,2020,,24.6,20.4,0.0,89,59,29.0
El Jadida,climat_historique,2020-09-21,2020,,25.4,19.7,0.0,95,63,24.8
El Jadida,climat_historique,2020-09-22,2020,,26.5,20.4,0.0,97,58,21.7
El Jadida,climat_historique,2020-09-23,2020,,30.0,21.2,0.0,94,27,26.7
El Jadida,climat_historique,2020-09-24,2020,,27.9,21.5,0.0,79,50,23.4
El Jadida,climat_historique,2020-09-25,2020,,26.5,19.2,0.0,97,64,31.2
El Jadida,climat_historique,2020-09-26,2020,,23.9,19.8,0.0,91,63,24.7
El Jadida,climat_historique,2020-09-27,2020,,23.3,19.2,0.0,88,63,27.5
El Jadida,climat_historique,2020-09-28,2020,,23.6,18.4,0.0,93,62,19.8
El Jadida,climat_historique,2020-09-29,2020,,24.5,18.8,0.0,96,64,17.3
El Jadida,climat_historique,2020-09-30,2020,,23.9,19.7,0.0,98,69,14.1
El Jadida,climat_historique,2020-10-01,2020,,23.2,19.2,0.2,95,60,21.7
El Jadida,climat_historique,2020-10-02,2020,,23.4,18.6,2.6,97,56,14.5
El Jadida,climat_historique,2020-10-03,2020,,22.2,18.1,0.5,93,53,24.5
El Jadida,climat_historique,2020-10-04,2020,,22.0,15.4,0.0,80,49,23.0
El Jadida,climat_historique,2020-10-05,2020,,22.9,16.2,0.0,89,59,30.8
El Jadida,climat_historique,2020-10-06,2020,,22.9,16.7,0.0,89,64,25.1
El Jadida,climat_historique,2020-10-07,2020,,24.0,15.6,0.0,94,64,15.5
El Jadida,climat_historique,2020-10-08,2020,,24.0,17.2,0.0,98,67,12.8
El Jadida,climat_historique,2020-10-09,2020,,23.6,18.6,0.0,100,69,14.4
El Jadida,climat_historique,2020-10-10,2020,,23.2,18.7,0.0,100,70,18.7
El Jadida,climat_historique,2020-10-11,2020,,23.6,19.3,0.0,98,69,19.4
El Jadida,climat_historique,2020-10-12,2020,,24.2,18.0,0.0,99,65,22.2
El Jadida,climat_historique,2020-10-13,2020,,23.2,16.5,0.0,96,59,19.6
El Jadida,climat_historique,2020-10-14,2020,,22.1,16.1,0.1,92,60,20.3
El Jadida,climat_historique,2020-10-15,2020,,21.0,17.6,0.1,89,52,20.5
El Jadida,climat_historique,2020-10-16,2020,,20.8,15.9,0.1,84,49,13.3
El Jadida,climat_historique,2020-10-17,2020,,21.1,15.1,0.0,89,47,17.9
El Jadida,climat_historique,2020-10-18,2020,,23.1,15.2,0.0,93,47,15.5
El Jadida,climat_historique,2020-10-19,2020,,23.7,16.5,0.0,77,48,21.3
El Jadida,climat_historique,2020-10-20,2020,,28.0,17.8,5.5,92,32,55.5
El Jadida,climat_historique,2020-10-21,2020,,22.9,18.1,1.1,95,65,29.7
El Jadida,climat_historique,2020-10-22,2020,,21.2,16.7,3.0,93,65,22.3
El Jadida,climat_historique,2020-10-23,2020,,21.4,14.3,0.0,94,56,15.8
El Jadida,climat_historique,2020-10-24,2020,,21.8,14.2,0.0,95,61,24.5
El Jadida,climat_historique,2020-10-25,2020,,20.8,14.8,0.0,95,56,14.1
El Jadida,climat_historique,2020-10-26,2020,,19.9,13.4,0.8,92,70,19.3
El Jadida,climat_historique,2020-10-27,2020,,20.2,15.1,0.0,84,49,23.3
El Jadida,climat_historique,2020-10-28,2020,,20.7,14.2,0.0,86,53,25.4
El Jadida,climat_historique,2020-10-29,2020,,22.2,14.9,0.0,91,56,16.3
El Jadida,climat_historique,2020-10-30,2020,,23.2,12.9,0.0,100,57,11.6
El Jadida,climat_historique,2020-10-31,2020,,21.8,16.1,0.0,100,75,14.0
El Jadida,climat_historique,2020-11-01,2020,,21.9,16.9,0.0,97,64,23.2
El Jadida,climat_historique,2020-11-02,2020,,22.1,16.4,0.0,97,74,19.5
El Jadida,climat_historique,2020-11-03,2020,,22.0,15.9,0.7,99,74,22.0
El Jadida,climat_historique,2020-11-04,2020,,20.5,15.7,6.9,95,76,15.4
El Jadida,climat_historique,2020-11-05,2020,,20.8,14.5,5.3,95,59,27.7
El Jadida,climat_historique,2020-11-06,2020,,21.0,15.3,2.4,86,57,34.0
El Jadida,climat_historique,2020-11-07,2020,,21.9,14.6,0.8,93,61,35.8
El Jadida,climat_historique,2020-11-08,2020,,20.9,14.2,0.0,91,67,11.2
El Jadida,climat_historique,2020-11-09,2020,,19.9,12.4,0.0,98,78,16.8
El Jadida,climat_historique,2020-11-10,2020,,20.5,16.1,0.0,96,67,26.0
El Jadida,climat_historique,2020-11-11,2020,,20.6,12.1,0.0,99,63,14.2
El Jadida,climat_historique,2020-11-12,2020,,22.4,14.2,0.0,99,52,14.0
El Jadida,climat_historique,2020-11-13,2020,,21.4,15.9,0.2,94,64,15.0
El Jadida,climat_historique,2020-11-14,2020,,26.9,14.9,0.1,95,49,16.5
El Jadida,climat_historique,2020-11-15,2020,,31.4,18.5,0.0,83,28,22.5
El Jadida,climat_historique,2020-11-16,2020,,29.6,18.0,0.0,73,34,16.2
El Jadida,climat_historique,2020-11-17,2020,,27.5,15.1,0.0,71,35,17.0
